AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ1	LossQ2	Time
408.99918	340.73907	885.0657	70.377045	598.4978	366.80295	1205.7372	57.414665	459.6	591.9	185999	4670.1904	46234.996	67.64544	-31.740122	4670.154	46234.637	69.744484	-28.881184	-47.647354	1.8420244	1.826079	1853.9285151958466
592.3982	306.8185	844.92566	160.55498	924.7703	82.73298	1157.9856	863.88605	713.3333	1000.0	187999	4685.2544	46384.13	67.70555	-58.06588	4685.246	46384.047	66.86585	-29.572428	-47.74078	1.9212542	1.8600748	1877.8804483413696
549.6714	318.09708	803.44836	101.10518	931.5662	373.37875	1404.482	127.93939	692.3333	857.4	189999	4702.8687	46558.504	68.15584	-25.178574	4702.807	46557.9	67.44266	-30.748955	-47.883423	1.8698062	1.8884075	1898.9432048797607
761.0806	96.24036	857.321	664.8403	656.058	358.05582	958.03094	18.196154	1000.0	726.6	191999	4715.295	46681.527	67.31005	-28.390957	4715.304	46681.617	67.223335	-29.039967	-47.985962	1.8143934	1.8213198	1919.8420507907867
816.6495	27.351868	844.00134	789.2976	638.89966	368.262	985.62823	40.687206	1000.0	722.7	193999	4727.978	46807.09	68.11411	-32.465363	4727.91	46806.414	68.71894	-36.211334	-48.107094	1.8252937	1.7975737	1939.9542245864868
809.0476	19.883514	828.9311	789.16406	826.9811	292.15668	1224.5085	26.07411	1000.0	1000.0	195999	4747.3784	46999.156	68.03371	-31.200943	4747.361	46998.977	67.642105	-31.798948	-48.339897	1.7596285	1.7746794	1964.3973400592804
472.4084	424.33786	952.3618	34.51197	671.87305	386.77524	1248.9327	14.593426	521.5	672.5	197999	4768.056	47203.86	70.80029	-28.500725	4768.066	47203.96	70.25071	-32.76208	-48.59097	1.7729944	1.7541331	1984.4110457897186
413.1144	310.1037	838.8216	109.01104	759.80237	272.43582	1013.7644	132.52545	440.66666	842.1	199999	4793.8555	47459.273	70.65373	-22.8999	4793.823	47458.953	69.75167	-25.368176	-48.849003	1.8144363	1.8094943	2006.9017097949982
1059.4419	64.51337	1123.9552	994.92847	587.5468	377.38483	1046.0084	37.108047	1000.0	647.9	201999	4806.7275	47586.703	69.02093	-27.599707	4806.702	47586.453	69.087906	-29.543358	-48.922485	1.7696854	1.784093	2031.7164697647095
673.0332	313.94373	942.4706	232.71082	733.92975	274.15494	987.32074	174.70699	718.6667	828.0	203999	4829.822	47815.34	69.30592	-29.55017	4829.781	47814.93	68.16075	-33.138584	-49.114437	1.8682932	1.8403215	2054.067793369293
809.0476	13.176971	822.22455	795.8706	908.60626	138.10365	1294.8191	771.9481	1000.0	1000.0	205999	4856.721	48081.64	70.27809	-42.26061	4856.76	48082.023	68.880035	-45.862164	-49.42821	1.802057	1.8002629	2078.8758175373077
586.9377	402.2271	905.9913	19.57075	692.0575	273.39154	958.4246	131.39539	676.0	762.2	207999	4883.1606	48343.395	69.70845	-21.78903	4883.1465	48343.254	70.25446	-25.166494	-49.69875	1.8118789	1.7788004	2098.832326889038
634.70026	338.787	949.0875	164.4005	838.3781	278.87106	1058.7938	15.026654	713.0	902.4	209999	4903.8237	48547.953	70.26694	-27.931318	4903.7803	48547.523	70.26222	-25.731127	-49.887695	1.8160686	1.8194182	2122.598330974579
